issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260818101010503,544,5,4,4,13.0,Big,Odd,,20260818101010503
20260818101010502,165,1,6,5,12.0,Big,Even,,20260818101010502
20260818101010501,626,6,2,6,14.0,Big,Even,,20260818101010501
20260818101010500,522,5,2,2,9.0,Small,Odd,,20260818101010500
20260818101010499,651,6,5,1,12.0,Big,Even,,20260818101010499
20260818101010498,612,6,1,2,9.0,Small,Odd,,20260818101010498
20260818101010497,153,1,5,3,9.0,Small,Odd,,20260818101010497
20260818101010496,412,4,1,2,7.0,Small,Odd,,20260818101010496
20260818101010495,223,2,2,3,7.0,Small,Odd,,20260818101010495
20260818101010494,564,5,6,4,15.0,Big,Odd,,20260818101010494
20260818101010493,455,4,5,5,14.0,Big,Even,,20260818101010493
20260818101010492,443,4,4,3,11.0,Big,Odd,,20260818101010492
20260818101010491,214,2,1,4,7.0,Small,Odd,,20260818101010491
20260818101010490,633,6,3,3,12.0,Big,Even,,20260818101010490
20260818101010489,116,1,1,6,8.0,Small,Even,,20260818101010489
20260818101010488,543,5,4,3,12.0,Big,Even,,20260818101010488
20260818101010487,163,1,6,3,10.0,Small,Even,,20260818101010487
20260818101010486,321,3,2,1,6.0,Small,Even,,20260818101010486
20260818101010485,143,1,4,3,8.0,Small,Even,,20260818101010485
20260818101010484,644,6,4,4,14.0,Big,Even,,20260818101010484
20260818101010483,522,5,2,2,9.0,Small,Odd,,20260818101010483
20260818101010482,136,1,3,6,10.0,Small,Even,,20260818101010482
20260818101010481,422,4,2,2,8.0,Small,Even,,20260818101010481
20260818101010480,151,1,5,1,7.0,Small,Odd,,20260818101010480
20260818101010479,244,2,4,4,10.0,Small,Even,,20260818101010479
20260818101010478,516,5,1,6,12.0,Big,Even,,20260818101010478
20260818101010477,615,6,1,5,12.0,Big,Even,,20260818101010477
20260818101010476,141,1,4,1,6.0,Small,Even,,20260818101010476
20260818101010475,143,1,4,3,8.0,Small,Even,,20260818101010475
20260818101010474,653,6,5,3,14.0,Big,Even,,20260818101010474
20260818101010473,532,5,3,2,10.0,Small,Even,,20260818101010473
20260818101010472,425,4,2,5,11.0,Big,Odd,,20260818101010472
20260818101010471,456,4,5,6,15.0,Big,Odd,,20260818101010471
20260818101010470,421,4,2,1,7.0,Small,Odd,,20260818101010470
20260818101010469,463,4,6,3,13.0,Big,Odd,,20260818101010469
20260818101010468,112,1,1,2,4.0,Small,Even,,20260818101010468
20260818101010467,345,3,4,5,12.0,Big,Even,,20260818101010467
20260818101010466,423,4,2,3,9.0,Small,Odd,,20260818101010466
20260818101010465,223,2,2,3,7.0,Small,Odd,,20260818101010465
20260818101010464,636,6,3,6,15.0,Big,Odd,,20260818101010464
20260818101010463,341,3,4,1,8.0,Small,Even,,20260818101010463
20260818101010462,626,6,2,6,14.0,Big,Even,,20260818101010462
20260818101010461,311,3,1,1,5.0,Small,Odd,,20260818101010461
20260818101010460,113,1,1,3,5.0,Small,Odd,,20260818101010460
20260818101010459,335,3,3,5,11.0,Big,Odd,,20260818101010459
20260817101011202,355,3.0,5.0,5.0,13.0,Big,Odd,,20260817101011202
20260817101011201,234,2.0,3.0,4.0,9.0,Small,Odd,,20260817101011201
20260817101011200,364,3.0,6.0,4.0,13.0,Big,Odd,,20260817101011200
20260817101011199,515,5.0,1.0,5.0,11.0,Big,Odd,,20260817101011199
20260817101011198,215,2.0,1.0,5.0,8.0,Small,Even,,20260817101011198
20260817101011197,232,2.0,3.0,2.0,7.0,Small,Odd,,20260817101011197
20260817101011196,621,6.0,2.0,1.0,9.0,Small,Odd,,20260817101011196
20260817101011195,622,6.0,2.0,2.0,10.0,Small,Even,,20260817101011195
20260817101011194,445,4.0,4.0,5.0,13.0,Big,Odd,,20260817101011194
20260817101011193,241,2.0,4.0,1.0,7.0,Small,Odd,,20260817101011193
20260817101011192,142,1.0,4.0,2.0,7.0,Small,Odd,,20260817101011192
20260817101011191,341,3.0,4.0,1.0,8.0,Small,Even,,20260817101011191
20260817101011190,463,4.0,6.0,3.0,13.0,Big,Odd,,20260817101011190
20260817101011189,524,5.0,2.0,4.0,11.0,Big,Odd,,20260817101011189
20260817101011188,113,1.0,1.0,3.0,5.0,Small,Odd,,20260817101011188
20260817101011187,661,6.0,6.0,1.0,13.0,Big,Odd,,20260817101011187
20260817101011186,666,6.0,6.0,6.0,18.0,Big,Even,,20260817101011186
20260817101011185,536,5.0,3.0,6.0,14.0,Big,Even,,20260817101011185
20260817101011184,246,2.0,4.0,6.0,12.0,Big,Even,,20260817101011184
20260817101011183,166,1.0,6.0,6.0,13.0,Big,Odd,,20260817101011183
20260817101011182,213,2.0,1.0,3.0,6.0,Small,Even,,20260817101011182
20260817101011181,244,2.0,4.0,4.0,10.0,Small,Even,,20260817101011181
20260817101011180,655,6.0,5.0,5.0,16.0,Big,Even,,20260817101011180
